name,byte_theory,byte_os,byte_encoded,ratio_theory,ratio_os
R_0_E_0_S_35_B_89.pt,29362176,29364271,15781070.5,0.46253743251181384,0.462575777890076
R_1_E_0_S_37_B_125.pt,29381632,29383798,10270992.75,0.6504281058996314,0.6504538742745236
R_0_E_0_S_2_B_135.pt,29381632,29383791,10803771.25,0.6322950593758713,0.6323220768211971
R_1_E_0_S_8_B_49.pt,29362176,29364264,22881006.75,0.2207319120354023,0.22078732332606735
R_0_E_0_S_47_B_120.pt,29381632,29383798,8735516.25,0.7026878476321533,0.7027097637276162
R_0_E_0_S_2_B_90.pt,29381632,29383784,17986576.5,0.38782922269259923,0.3878740566565559
R_1_E_0_S_1_B_9.pt,29362176,29364257,23253040.5,0.20806140185250577,0.20811752533019992
R_0_E_0_S_13_B_44.pt,29362176,29364271,22596615.5,0.23041754466698927,0.23047245068675465
R_1_E_0_S_51_B_4.pt,29362176,29364264,16301040.5,0.4448285951286444,0.44486807161248787
R_0_E_0_S_45_B_10.pt,29381632,29383791,13405918.25,0.5437313267690508,0.543764851512863
R_1_E_0_S_32_B_74.pt,29362176,29364271,18242478.25,0.37870823163787315,0.3787525578278446
R_0_E_0_S_29_B_44.pt,29362176,29364271,18200450.5,0.38013958842832357,0.38018381249784816
R_1_E_0_S_43_B_44.pt,29362176,29364271,17584404.5,0.40112052662581954,0.4011632538059603
R_0_E_0_S_3_B_79.pt,29362176,29364264,25577744.75,0.12888796967908644,0.12894991170219694
R_1_E_0_S_20_B_115.pt,29381632,29383798,10848624,0.630768501899418,0.6307957194641755
R_1_E_0_S_25_B_69.pt,29362176,29364271,17051645.5,0.4192649243707278,0.4193063570350512
R_0_E_0_S_39_B_124.pt,29362176,29364278,17440589,0.40601851170703424,0.4060610310255202
R_0_E_0_S_48_B_94.pt,29362176,29364271,16682965.75,0.4318212059623919,0.43186174279620293
R_0_E_0_S_20_B_10.pt,29381632,29383791,13729992,0.5327015190987349,0.5327358542674089
R_0_E_0_S_21_B_85.pt,29381632,29383791,13083086,0.5547188801493396,0.5547515975729612
R_1_E_0_S_42_B_19.pt,29362176,29364271,15122188,0.484977271439283,0.4850140158425864
R_0_E_0_S_34_B_110.pt,29381632,29383798,11265141.25,0.6165923918045124,0.6166206543483589
R_0_E_0_S_5_B_65.pt,29381632,29383784,18318277.5,0.37653982256669744,0.37658548334006264
R_1_E_0_S_42_B_135.pt,29381632,29383798,6217004.5,0.7884050654504148,0.7884206629789655
R_0_E_0_S_7_B_65.pt,29381632,29383784,16676222,0.4324269666164221,0.4324685343453382
R_0_E_0_S_44_B_100.pt,29381632,29383798,11526378,0.6077012332058341,0.6077301511533669
R_1_E_0_S_4_B_100.pt,29381632,29383791,17698137,0.3976462233275538,0.39769048180338606
R_1_E_0_S_6_B_55.pt,29381632,29383784,16951445.75,0.42305976230319675,0.42310201606437076
R_0_E_0_S_12_B_64.pt,29362176,29364271,27150139.75,0.07533625062393196,0.0754022209507602
